year,month,DWELLING_TYPE,consumption_GWh
2006,5,4-room,126.6
2006,6,4-room,130.8
2006,7,4-room,125.8
2006,8,4-room,133.1
2006,9,4-room,131.5
2006,10,4-room,126.8
2006,11,4-room,129.7
2006,12,4-room,119.6
2006,1,5-room and Executive,115.6
2006,2,5-room and Executive,110.7
2006,3,5-room and Executive,114
2006,4,5-room and Executive,124.3
2006,5,5-room and Executive,127.2
2006,6,5-room and Executive,131.5
2006,7,5-room and Executive,127.3
2006,8,5-room and Executive,134.4
2006,9,5-room and Executive,133.4
2006,10,5-room and Executive,128.2
2006,11,5-room and Executive,131.8
2006,12,5-room and Executive,121.4
2006,1,Private Housing,175
2006,2,Private Housing,173.5
2006,3,Private Housing,183
2006,4,Private Housing,198.5
2006,5,Private Housing,202.1
2006,6,Private Housing,203.2
2006,7,Private Housing,194.8
2006,8,Private Housing,208.3
2006,9,Private Housing,208.6
2006,10,Private Housing,204.6
2006,11,Private Housing,207
2006,12,Private Housing,191.6
2006,1,Private Apartments and Condominiums,103.5
2006,2,Private Apartments and Condominiums,100.8
2006,3,Private Apartments and Condominiums,106.2
2006,4,Private Apartments and Condominiums,117.3
2006,5,Private Apartments and Condominiums,121
2006,6,Private Apartments and Condominiums,121.7
2006,7,Private Apartments and Condominiums,116.9
2006,8,Private Apartments and Condominiums,124.1
2006,9,Private Apartments and Condominiums,124.6
2006,10,Private Apartments and Condominiums,121.3
2006,11,Private Apartments and Condominiums,124.1
2006,12,Private Apartments and Condominiums,114.5
2006,1,Landed Properties,71.5
2006,2,Landed Properties,72.7
2006,3,Landed Properties,76.8
2006,4,Landed Properties,81.2
2006,5,Landed Properties,81.1
2006,6,Landed Properties,81.5
2006,7,Landed Properties,78
2006,8,Landed Properties,84.2
2006,9,Landed Properties,84
2006,10,Landed Properties,83.3
2006,11,Landed Properties,82.9
2006,12,Landed Properties,77.1
2006,1,Others,0.9
2006,2,Others,0.9
2006,3,Others,0.9
2006,4,Others,1.1
2006,5,Others,1.1
2006,6,Others,1.1
2006,7,Others,1
2006,8,Others,1
2006,9,Others,1
2006,10,Others,1.1
2006,11,Others,1.1
2006,12,Others,1
2006,Annual,Overall,6109
2006,Annual,Public Housing,3747
2006,Annual,1-room / 2-room,70.7
2006,Annual,3-room,690.1
2006,Annual,4-room,1486.1
2006,Annual,5-room and Executive,1499.8
2006,Annual,Private Housing,2350.2
2006,Annual,Private Apartments and Condominiums,1396
2006,Annual,Landed Properties,954.3
2006,Annual,Others,12.2
2007,1,Overall,473.6
2007,2,Overall,444.4
2007,3,Overall,451.8
2007,4,Overall,511
2007,5,Overall,542.8
2007,6,Overall,556
2007,7,Overall,563.1
2007,8,Overall,555
2007,9,Overall,513.6
2007,10,Overall,514.7
2007,11,Overall,547.9
2007,12,Overall,489.9
2007,1,Public Housing,291.5
2007,2,Public Housing,271.6
2007,3,Public Housing,274.4
2007,4,Public Housing,311.5
2007,5,Public Housing,330.2
2007,6,Public Housing,340.3
2007,7,Public Housing,343.6
2007,8,Public Housing,340.6
2007,9,Public Housing,315.6
2007,10,Public Housing,314.5
2007,11,Public Housing,333.8
2007,12,Public Housing,299.9
2007,1,1-room / 2-room,5.7
2007,2,1-room / 2-room,5.5
2007,3,1-room / 2-room,5.3
2007,4,1-room / 2-room,5.8
2007,5,1-room / 2-room,6.2
2007,6,1-room / 2-room,6.4
2007,7,1-room / 2-room,6.4
2007,8,1-room / 2-room,6.3
2007,9,1-room / 2-room,6.1
2007,10,1-room / 2-room,6
2007,11,1-room / 2-room,6.4
2007,12,1-room / 2-room,5.9
2007,1,3-room,53.5
2007,2,3-room,51
2007,3,3-room,50.4
2007,4,3-room,57.3
2007,5,3-room,60.8
2007,6,3-room,62.6
2007,7,3-room,63.2
2007,8,3-room,62.8
2007,9,3-room,58.4
2007,10,3-room,57.7
2007,11,3-room,61.6
2007,12,3-room,55.8
2007,1,4-room,115.4
2007,2,4-room,107.1
2007,3,4-room,108.5
2007,4,4-room,123.6
2007,5,4-room,130.7
2007,6,4-room,134.6
2007,7,4-room,135.7
2007,8,4-room,134.8
2007,9,4-room,124.6
2007,10,4-room,124.3
2007,11,4-room,132.1
2007,12,4-room,118.6
2007,1,5-room and Executive,116.8
2007,2,5-room and Executive,108.1
2007,3,5-room and Executive,110.1
2007,4,5-room and Executive,124.9
2007,5,5-room and Executive,132.5
2007,6,5-room and Executive,136.7
2007,7,5-room and Executive,138.3
2007,8,5-room and Executive,136.7
2007,9,5-room and Executive,126.4
2007,10,5-room and Executive,126.5
2007,11,5-room and Executive,133.7
2007,12,5-room and Executive,119.7
2007,1,Private Housing,181.1
2007,2,Private Housing,171.8
2007,3,Private Housing,176.5
2007,4,Private Housing,198.4
2007,5,Private Housing,211.5
2007,6,Private Housing,214.6
2007,7,Private Housing,218.5
2007,8,Private Housing,213.3
2007,9,Private Housing,197
2007,10,Private Housing,199.1
2007,11,Private Housing,213
2007,12,Private Housing,189.1
2007,1,Private Apartments and Condominiums,107.9
2007,2,Private Apartments and Condominiums,100.8
2007,3,Private Apartments and Condominiums,103.7
2007,4,Private Apartments and Condominiums,117.7
2007,5,Private Apartments and Condominiums,128
2007,6,Private Apartments and Condominiums,129.4
2007,7,Private Apartments and Condominiums,131.6
2007,8,Private Apartments and Condominiums,127.9
2007,9,Private Apartments and Condominiums,118.1
2007,10,Private Apartments and Condominiums,118.1
2007,11,Private Apartments and Condominiums,127.2
2007,12,Private Apartments and Condominiums,112.4
2007,1,Landed Properties,73.2
2007,2,Landed Properties,71
2007,3,Landed Properties,72.7
2007,4,Landed Properties,80.6
2007,5,Landed Properties,83.5
2007,6,Landed Properties,85.2
2007,7,Landed Properties,86.8
2007,8,Landed Properties,85.4
2007,9,Landed Properties,78.9
2007,10,Landed Properties,81
2007,11,Landed Properties,85.9
2007,12,Landed Properties,76.6
2007,1,Others,1
2007,2,Others,0.9
2007,3,Others,0.9
2007,4,Others,1.1
2007,5,Others,1.1
2007,6,Others,1.1
2007,7,Others,1.1
2007,8,Others,1.1
2007,9,Others,1
2007,10,Others,1.1
2007,11,Others,1.1
2007,12,Others,1
2007,Annual,Overall,6163.8
2007,Annual,Public Housing,3767.5
2007,Annual,1-room / 2-room,72
2007,Annual,3-room,695.1
2007,Annual,4-room,1490
2007,Annual,5-room and Executive,1510.4
2007,Annual,Private Housing,2383.9
2007,Annual,Private Apartments and Condominiums,1422.8
2007,Annual,Landed Properties,960.8
2007,Annual,Others,12.5
2008,1,Overall,467.1
2008,2,Overall,472.7
2008,3,Overall,449.5
2008,4,Overall,491.5
2008,5,Overall,544
2008,6,Overall,572.5
2008,7,Overall,525.8
2008,8,Overall,510.1
2008,9,Overall,519.1
2008,10,Overall,522.1
2008,11,Overall,535.6
2008,12,Overall,484
2008,1,Public Housing,288.5
2008,2,Public Housing,288.6
2008,3,Public Housing,272.2
2008,4,Public Housing,303.2
2008,5,Public Housing,333.1
2008,6,Public Housing,345.5
2008,7,Public Housing,323.7
2008,8,Public Housing,312.8
2008,9,Public Housing,319.2
2008,10,Public Housing,318.8
2008,11,Public Housing,323.9
2008,12,Public Housing,294.4
2008,1,1-room / 2-room,5.8
2008,2,1-room / 2-room,5.7
2008,3,1-room / 2-room,5.3
2008,4,1-room / 2-room,5.8
2008,5,1-room / 2-room,6.3
2008,6,1-room / 2-room,6.5
2008,7,1-room / 2-room,6.2
2008,8,1-room / 2-room,6
2008,9,1-room / 2-room,6.1
2008,10,1-room / 2-room,6.2
2008,11,1-room / 2-room,6.4
2008,12,1-room / 2-room,5.7
2008,1,3-room,53.6
2008,2,3-room,53.9
2008,3,3-room,50.6
2008,4,3-room,56.1
2008,5,3-room,61.7
2008,6,3-room,64.4
2008,7,3-room,59.5
2008,8,3-room,58
2008,9,3-room,59.1
2008,10,3-room,58.6
2008,11,3-room,60.1
2008,12,3-room,55
2008,1,4-room,114
2008,2,4-room,114.1
2008,3,4-room,107.6
2008,4,4-room,120.1
2008,5,4-room,132.2
2008,6,4-room,136.7
2008,7,4-room,128.2
2008,8,4-room,124.1
2008,9,4-room,126.6
2008,10,4-room,126.3
2008,11,4-room,128.5
2008,12,4-room,117
2008,1,5-room and Executive,115.1
2008,2,5-room and Executive,115
2008,3,5-room and Executive,108.7
2008,4,5-room and Executive,121.2
2008,5,5-room and Executive,132.9
2008,6,5-room and Executive,137.8
2008,7,5-room and Executive,129.9
2008,8,5-room and Executive,124.7
2008,9,5-room and Executive,127.4
2008,10,5-room and Executive,127.8
2008,11,5-room and Executive,129
2008,12,5-room and Executive,116.6
2008,1,Private Housing,177.6
2008,2,Private Housing,183.1
2008,3,Private Housing,176.3
2008,4,Private Housing,187.3
2008,5,Private Housing,209.8
2008,6,Private Housing,225.9
2008,7,Private Housing,201.1
2008,8,Private Housing,196.3
2008,9,Private Housing,198.9
2008,10,Private Housing,202.2
2008,11,Private Housing,210.5
2008,12,Private Housing,188.6
2008,1,Private Apartments and Condominiums,104.8
2008,2,Private Apartments and Condominiums,106.6
2008,3,Private Apartments and Condominiums,103.9
2008,4,Private Apartments and Condominiums,111.1
2008,5,Private Apartments and Condominiums,126
2008,6,Private Apartments and Condominiums,135.9
2008,7,Private Apartments and Condominiums,120.2
2008,8,Private Apartments and Condominiums,117.5
2008,9,Private Apartments and Condominiums,117.7
2008,10,Private Apartments and Condominiums,120.6
2008,11,Private Apartments and Condominiums,127.3
2008,12,Private Apartments and Condominiums,111.9
2008,1,Landed Properties,72.8
2008,2,Landed Properties,76.5
2008,3,Landed Properties,72.4
2008,4,Landed Properties,76.2
2008,5,Landed Properties,83.8
2008,6,Landed Properties,90
2008,7,Landed Properties,80.9
2008,8,Landed Properties,78.8
2008,9,Landed Properties,81.2
2008,10,Landed Properties,81.6
2008,11,Landed Properties,83.2
2008,12,Landed Properties,76.7
2008,1,Others,1
2008,2,Others,1
2008,3,Others,0.9
2008,4,Others,1
2008,5,Others,1.1
2008,6,Others,1.2
2008,7,Others,1
2008,8,Others,1
2008,9,Others,1.1
2008,10,Others,1.1
2008,11,Others,1.1
2008,12,Others,1
2008,Annual,Overall,6094
2008,Annual,Public Housing,3723.9
2008,Annual,1-room / 2-room,72
2008,Annual,3-room,690.6
2008,Annual,4-room,1475.4
2008,Annual,5-room and Executive,1486.1
2008,Annual,Private Housing,2357.6
2008,Annual,Private Apartments and Condominiums,1403.5
2008,Annual,Landed Properties,954.1
2008,Annual,Others,12.5
2009,1,Overall,476.4
2009,2,Overall,460.5
2009,3,Overall,461.2
2009,4,Overall,510.5
2009,5,Overall,556.6
2009,6,Overall,609.5
2009,7,Overall,592.7
2009,8,Overall,572.1
2009,9,Overall,554.9
2009,10,Overall,557.4
2009,11,Overall,562.9
2009,12,Overall,516
2009,1,Public Housing,290.8
2009,2,Public Housing,280.3
2009,3,Public Housing,279
2009,4,Public Housing,310.2
2009,5,Public Housing,336.4
2009,6,Public Housing,370.9
2009,7,Public Housing,359.9
2009,8,Public Housing,349.7
2009,9,Public Housing,337.5
2009,10,Public Housing,337.8
2009,11,Public Housing,339
2009,12,Public Housing,310.9
2009,1,1-room / 2-room,5.9
2009,2,1-room / 2-room,5.6
2009,3,1-room / 2-room,5.5
2009,4,1-room / 2-room,6.1
2009,5,1-room / 2-room,6.6
2009,6,1-room / 2-room,6.8
2009,7,1-room / 2-room,6.8
2009,8,1-room / 2-room,6.8
2009,9,1-room / 2-room,6.6
2009,10,1-room / 2-room,6.7
2009,11,1-room / 2-room,6.8
2009,12,1-room / 2-room,6.3
2009,1,3-room,53.9
2009,2,3-room,52.4
2009,3,3-room,51.8
2009,4,3-room,57.7
2009,5,3-room,62.6
2009,6,3-room,68.1
2009,7,3-room,65.3
2009,8,3-room,65.5
2009,9,3-room,62.3
2009,10,3-room,62.6
2009,11,3-room,62.7
2009,12,3-room,57.9
2009,1,4-room,115.5
2009,2,4-room,111.1
2009,3,4-room,110.8
2009,4,4-room,123.4
2009,5,4-room,133.3
2009,6,4-room,147.6
2009,7,4-room,142.9
2009,8,4-room,138.2
2009,9,4-room,134.1
2009,10,4-room,134
2009,11,4-room,134.3
2009,12,4-room,123.3
2009,1,5-room and Executive,115.5
2009,2,5-room and Executive,111.1
2009,3,5-room and Executive,110.8
2009,4,5-room and Executive,123.1
2009,5,5-room and Executive,134.1
2009,6,5-room and Executive,148.3
2009,7,5-room and Executive,144.9
2009,8,5-room and Executive,139.2
2009,9,5-room and Executive,134.5
2009,10,5-room and Executive,134.5
2009,11,5-room and Executive,135.2
2009,12,5-room and Executive,123.3
2009,1,Private Housing,184.5
2009,2,Private Housing,179.3
2009,3,Private Housing,181.3
2009,4,Private Housing,199.3
2009,5,Private Housing,219
2009,6,Private Housing,237.4
2009,7,Private Housing,231.6
2009,8,Private Housing,221.3
2009,9,Private Housing,216.2
2009,10,Private Housing,218.5
2009,11,Private Housing,222.8
2009,12,Private Housing,204.1
2009,1,Private Apartments and Condominiums,108.7
2009,2,Private Apartments and Condominiums,104.1
2009,3,Private Apartments and Condominiums,107.1
2009,4,Private Apartments and Condominiums,118.8
2009,5,Private Apartments and Condominiums,133
2009,6,Private Apartments and Condominiums,143.3
2009,7,Private Apartments and Condominiums,140.2
2009,8,Private Apartments and Condominiums,133.3
2009,9,Private Apartments and Condominiums,130.3
2009,10,Private Apartments and Condominiums,131.4
2009,11,Private Apartments and Condominiums,135.8
2009,12,Private Apartments and Condominiums,122.1
2009,1,Landed Properties,75.8
2009,2,Landed Properties,75.3
2009,3,Landed Properties,74.2
2009,4,Landed Properties,80.4
2009,5,Landed Properties,86
2009,6,Landed Properties,94.1
2009,7,Landed Properties,91.4
2009,8,Landed Properties,88
2009,9,Landed Properties,86
2009,10,Landed Properties,87.1
2009,11,Landed Properties,86.9
2009,12,Landed Properties,81.9
2009,1,Others,1
2009,2,Others,0.9
2009,3,Others,0.9
2009,4,Others,1.1
2009,5,Others,1.2
2009,6,Others,1.2
2009,7,Others,1.2
2009,8,Others,1.1
2009,9,Others,1.1
2009,10,Others,1.2
2009,11,Others,1.1
2009,12,Others,1.1
2009,Annual,Overall,6430.7
2009,Annual,Public Housing,3902.4
2009,Annual,1-room / 2-room,76.5
2009,Annual,3-room,722.8
2009,Annual,4-room,1548.5
2009,Annual,5-room and Executive,1554.5
2009,Annual,Private Housing,2515.3
2009,Annual,Private Apartments and Condominiums,1508.1
2009,Annual,Landed Properties,1007.1
2009,Annual,Others,13.1
2010,1,Overall,490.6
2010,2,Overall,503.9
2010,3,Overall,547.6
2010,4,Overall,585
2010,5,Overall,573.5
2010,6,Overall,606
2010,7,Overall,575.2
2010,8,Overall,539.7
2010,9,Overall,539.2
2010,10,Overall,557.8
2010,11,Overall,581.4
2010,12,Overall,536.2
2010,1,Public Housing,298.7
2010,2,Public Housing,302.9
2010,3,Public Housing,325.9
2010,4,Public Housing,352
2010,5,Public Housing,345.9
2010,6,Public Housing,365.6
2010,7,Public Housing,349.9
2010,8,Public Housing,331.2
2010,9,Public Housing,328.3
2010,10,Public Housing,335.8
2010,11,Public Housing,351.2
2010,12,Public Housing,323.7
2010,1,1-room / 2-room,6.2
2010,2,1-room / 2-room,6.1
2010,3,1-room / 2-room,6.4
2010,4,1-room / 2-room,6.8
2010,5,1-room / 2-room,7
2010,6,1-room / 2-room,7.2
2010,7,1-room / 2-room,7
2010,8,1-room / 2-room,6.9
2010,9,1-room / 2-room,6.7
2010,10,1-room / 2-room,7
2010,11,1-room / 2-room,7.2
2010,12,1-room / 2-room,6.8
2010,1,3-room,55.6
2010,2,3-room,56.5
2010,3,3-room,60.4
2010,4,3-room,64.6
2010,5,3-room,64.6
2010,6,3-room,67.8
2010,7,3-room,64.7
2010,8,3-room,61.8
2010,9,3-room,60.8
2010,10,3-room,62.7
2010,11,3-room,65.3
2010,12,3-room,59.9
2010,1,4-room,119
2010,2,4-room,120.2
2010,3,4-room,129.4
2010,4,4-room,140.2
2010,5,4-room,137.3
2010,6,4-room,145.6
2010,7,4-room,139.2
2010,8,4-room,131.6
2010,9,4-room,131.2
2010,10,4-room,133.8
2010,11,4-room,139.9
2010,12,4-room,129.1
2010,1,5-room and Executive,117.9
2010,2,5-room and Executive,120.1
2010,3,5-room and Executive,129.7
2010,4,5-room and Executive,140.4
2010,5,5-room and Executive,137
2010,6,5-room and Executive,145
2010,7,5-room and Executive,139
2010,8,5-room and Executive,130.8
2010,9,5-room and Executive,129.6
2010,10,5-room and Executive,132.4
2010,11,5-room and Executive,138.8
2010,12,5-room and Executive,127.9
2010,1,Private Housing,190.9
2010,2,Private Housing,199.9
2010,3,Private Housing,220.7
2010,4,Private Housing,231.7
2010,5,Private Housing,226.5
2010,6,Private Housing,239.1
2010,7,Private Housing,224.1
2010,8,Private Housing,207.5
2010,9,Private Housing,209.8
2010,10,Private Housing,220.7
2010,11,Private Housing,229.1
2010,12,Private Housing,211.4
2010,1,Private Apartments and Condominiums,113.9
2010,2,Private Apartments and Condominiums,117.5
2010,3,Private Apartments and Condominiums,132.7
2010,4,Private Apartments and Condominiums,140.3
2010,5,Private Apartments and Condominiums,138.6
2010,6,Private Apartments and Condominiums,145.2
2010,7,Private Apartments and Condominiums,137.7
2010,8,Private Apartments and Condominiums,125.4
2010,9,Private Apartments and Condominiums,126.1
2010,10,Private Apartments and Condominiums,134.1
2010,11,Private Apartments and Condominiums,140.4
2010,12,Private Apartments and Condominiums,128.7
2010,1,Landed Properties,77
2010,2,Landed Properties,82.4
2010,3,Landed Properties,88
2010,4,Landed Properties,91.5
2010,5,Landed Properties,87.9
2010,6,Landed Properties,93.9
2010,7,Landed Properties,86.4
2010,8,Landed Properties,82.1
2010,9,Landed Properties,83.7
2010,10,Landed Properties,86.6
2010,11,Landed Properties,88.7
2010,12,Landed Properties,82.7
2010,1,Others,1
2010,2,Others,1
2010,3,Others,1.1
2010,4,Others,1.2
2010,5,Others,1.2
2010,6,Others,1.3
2010,7,Others,1.2
2010,8,Others,1
2010,9,Others,1.1
2010,10,Others,1.2
2010,11,Others,1.2
2010,12,Others,1.1
2010,Annual,Overall,6636.1
2010,Annual,Public Housing,4011.1
2010,Annual,1-room / 2-room,81.3
2010,Annual,3-room,744.7
2010,Annual,4-room,1596.5
2010,Annual,5-room and Executive,1588.6
2010,Annual,Private Housing,2611.4
2010,Annual,Private Apartments and Condominiums,1580.6
2010,Annual,Landed Properties,1030.9
2010,Annual,Others,13.6
2011,1,Overall,499.3
2011,2,Overall,461.7
2011,3,Overall,465.7
2011,4,Overall,524.4
2011,5,Overall,565.1
2011,6,Overall,602.8
2011,7,Overall,586
2011,8,Overall,590.6
2011,9,Overall,582.6
2011,10,Overall,557.7
2011,11,Overall,541.1
2011,12,Overall,505.9
2011,1,Public Housing,303.6
2011,2,Public Housing,279.3
2011,3,Public Housing,279.9
2011,4,Public Housing,314.6
2011,5,Public Housing,337.9
2011,6,Public Housing,364.7
2011,7,Public Housing,354.9
2011,8,Public Housing,356.5
2011,9,Public Housing,354
2011,10,Public Housing,335.3
2011,11,Public Housing,326
2011,12,Public Housing,304.8
2011,1,1-room / 2-room,6.7
2011,2,1-room / 2-room,6.1
2011,3,1-room / 2-room,6.1
2011,4,1-room / 2-room,6.7
2011,5,1-room / 2-room,7.2
2011,6,1-room / 2-room,7.6
2011,7,1-room / 2-room,7.6
2011,8,1-room / 2-room,7.7
2011,9,1-room / 2-room,7.6
2011,10,1-room / 2-room,7.4
2011,11,1-room / 2-room,7.3
2011,12,1-room / 2-room,6.9
2011,1,3-room,56.4
2011,2,3-room,52.1
2011,3,3-room,52.2
2011,4,3-room,58.7
2011,5,3-room,63.4
2011,6,3-room,67.8
2011,7,3-room,65.9
2011,8,3-room,66
2011,9,3-room,65.4
2011,10,3-room,62.1
2011,11,3-room,60.2
2011,12,3-room,56.6
2011,1,4-room,121.1
2011,2,4-room,111.2
2011,3,4-room,111.8
2011,4,4-room,125.7
2011,5,4-room,135.2
2011,6,4-room,146
2011,7,4-room,141.8
2011,8,4-room,142.7
2011,9,4-room,141.6
2011,10,4-room,134.4
2011,11,4-room,130.5
2011,12,4-room,122.2
2011,1,5-room and Executive,119.4
2011,2,5-room and Executive,109.9
2011,3,5-room and Executive,109.9
2011,4,5-room and Executive,123.5
2011,5,5-room and Executive,132.1
2011,6,5-room and Executive,143.3
2011,7,5-room and Executive,139.6
2011,8,5-room and Executive,140.1
2011,9,5-room and Executive,139.3
2011,10,5-room and Executive,131.4
2011,11,5-room and Executive,128
2011,12,5-room and Executive,119.1
2011,1,Private Housing,194.7
2011,2,Private Housing,181.5
2011,3,Private Housing,184.9
2011,4,Private Housing,208.6
2011,5,Private Housing,226
2011,6,Private Housing,236.8
2011,7,Private Housing,229.9
2011,8,Private Housing,232.9
2011,9,Private Housing,227.5
2011,10,Private Housing,221.2
2011,11,Private Housing,213.9
2011,12,Private Housing,200
2011,1,Private Apartments and Condominiums,117.9
2011,2,Private Apartments and Condominiums,107.3
2011,3,Private Apartments and Condominiums,110.1
2011,4,Private Apartments and Condominiums,127.1
2011,5,Private Apartments and Condominiums,138.5
2011,6,Private Apartments and Condominiums,145.4
2011,7,Private Apartments and Condominiums,142.8
2011,8,Private Apartments and Condominiums,142.2
2011,9,Private Apartments and Condominiums,139.9
2011,10,Private Apartments and Condominiums,134.7
2011,11,Private Apartments and Condominiums,132
2011,12,Private Apartments and Condominiums,122.4
2011,1,Landed Properties,76.8
2011,2,Landed Properties,74.2
2011,3,Landed Properties,74.8
2011,4,Landed Properties,81.5
2011,5,Landed Properties,87.5
2011,6,Landed Properties,91.5
2011,7,Landed Properties,87.1
2011,8,Landed Properties,90.7
2011,9,Landed Properties,87.6
2011,10,Landed Properties,86.5
2011,11,Landed Properties,82
2011,12,Landed Properties,77.6
2011,1,Others,1.1
2011,2,Others,0.9
2011,3,Others,1
2011,4,Others,1.1
2011,5,Others,1.1
2011,6,Others,1.3
2011,7,Others,1.1
2011,8,Others,1.1
2011,9,Others,1.1
2011,10,Others,1.1
2011,11,Others,1.1
2011,12,Others,1
2011,Annual,Overall,6482.9
2011,Annual,Public Housing,3911.5
2011,Annual,1-room / 2-room,84.9
2011,Annual,3-room,726.8
2011,Annual,4-room,1564.2
2011,Annual,5-room and Executive,1535.6
2011,Annual,Private Housing,2557.9
2011,Annual,Private Apartments and Condominiums,1560.3
